code,subject_area
10,Biology and life sciences
10.10,Agriculture
10.10.10,Agricultural biotechnology
10.10.10.10,Genetically modified organisms
10.10.10.10.10,Genetically modified animals
10.10.10.10.20,Genetically modified plants
10.10.10.10.20.10,Genetically modified crops
10.10.10.20,Marker-assisted selection
10.10.20,Agricultural economics
10.10.20.10,Income supports
10.10.20.20,Marketing cartels
10.10.20.30,Output ceilings
10.10.20.40,Price controls
10.10.30,Agricultural methods
10.10.30.10,Agricultural irrigation
10.10.30.10.10,Drip irrigation
10.10.30.10.20,Lift irrigation
10.10.30.10.30,Surface irrigation
10.10.30.10.40,Tidal irrigation
10.10.30.20,High-input farming
10.10.30.30,Intercropping
10.10.30.40,Monoculture cropping
10.10.30.50,No-till farming
10.10.30.60,Organic farming
10.10.30.70,Slash-and-burn cultivation
10.10.30.80,Sustainable agriculture
10.10.40,Agricultural production
10.10.50,Agricultural soil science
10.10.60,Agrochemicals
10.10.60.10,Fertilizers
10.10.60.20,Fungicides
10.10.60.30,Herbicides
10.10.60.40,Insecticides
10.10.60.40.10,Biological insecticides
10.10.60.40.20,DDT
10.10.60.40.30,Dieldrin
10.10.60.50,Pesticides
10.10.60.50.10,Larvicides
10.10.70,Agroecology
10.10.70.10,Agroforests
10.10.70.20,Agronomic ecology
10.10.70.30,Agro-population ecology
10.10.70.40,Colony collapse
10.10.70.50,Ecological political economy
10.10.70.60,Holon agroecology
10.10.80,Agronomy
10.10.80.10,Horticulture
10.10.80.10.10,Greenhouses
10.10.80.10.20,Planting
10.10.80.20,Plant breeding
10.10.80.30,Plant products
10.10.80.30.10,Biofuel feedstocks
10.10.80.30.20,Cotton
10.10.80.30.30,Straw
10.10.80.30.40,Timber
10.10.80.30.50,Vegetable oils
10.10.90,Animal management
10.10.90.10,Animal breeding
10.10.90.20,Animal husbandry
10.10.90.30,Animal performance
10.10.90.40,Animal production
10.10.90.50,Animal slaughter
10.10.90.60,Animal welfare
10.10.100,Animal products
10.10.100.10,Fur
10.10.100.20,Gelatin
10.10.100.30,Honey
10.10.100.40,Leather
10.10.100.50,Meat
10.10.100.50.10,Beef
10.10.100.50.20,Ham
10.10.100.50.30,Pork
10.10.100.60,Pearls
10.10.100.70,Silk
10.10.100.80,Wool
10.10.110,Aquaculture
10.10.110.10,Algaculture
10.10.110.20,Fish farming
10.10.110.20.10,Fisheries
10.10.110.30,Mariculture
10.10.110.40,Oyster farming
10.10.110.50,Sea urchin aquaculture
10.10.110.60,Shrimp farming
10.10.120,Crop science
10.10.120.10,Crop diseases
10.10.120.20,Crop management
10.10.120.30,Crops
10.10.120.30.10,Cereal crops
10.10.120.30.10.10,Barley
10.10.120.30.10.20,Buckwheat
10.10.120.30.10.30,Fonio
10.10.120.30.10.40,Maize
10.10.120.30.10.50,Millet
10.10.120.30.10.60,Oat
