row,subject_area,freq
4809,Hyperpolarization-activated cyclic nucleotide-gated channels,16
10692,Voltage-gated calcium channels,16
10694,Voltage-gated potassium channels,16
10695,Voltage-gated proton channels,16
10696,Voltage-gated sodium channels,16
1393,Calcium channels,8
1401,Calcium-activated potassium channels,8
1579,Catsper channels,8
1741,Channelrhodopsins,8
2383,Crimean-Congo hemorrhagic fever virus,8
2477,Cyclic nucleotide-gated channels,8
3125,Electroencephalography,8
3385,Epithelial sodium channels,8
3476,Event-related potentials,8
3690,FIV,8
4622,HIV,8
5157,Inward-rectifier potassium channels,8
5162,Ion channel gating,8
5163,Ion channels,8
5532,Ligand-gated ion channels,8
5541,Light-gated ion channels,8
5952,Mechanosensitive ion channels,8
6809,Non-selective cation channels,8
7973,Potassium channels,8
8207,Proton channels,8
9284,Sodium channels,8
9805,Synthetic chloroplasts,8
9905,Temperature-gated ion channels,8
10200,Transient receptor potential channels,8
10353,Two-pore ion channels,8
10354,Two-pore-domain potassium channels,8
10669,Visual-evoked potentials,8
10693,Voltage-gated ion channels,8
261,Alkali denaturation technique,7
771,Auditory cortex,7
838,B cells,7
1840,Chlorophyll,7
2143,Complement activation,7
2144,Complement inhibitors,7
2146,Complement system,7
2578,Deformation-based morphometry,7
3013,Echolocation,7
3068,Effective population size,7
4516,Hepatitis C virus,7
4521,Hepatitis G virus,7
6022,Memory B cells,7
7146,Osteoclasts,7
9729,Surface-based morphometry,7
10704,Voxel-based morphometry,7
648,Arterial spin labelling,6
1255,Bovine spongiform encephalopathy,6
1270,Brain morphometry,6
1720,Cerebrospinal fluid,6
1841,Chloroplasts,6
2388,CRISPR,6
2722,Diffusion magnetic resonance imaging,6
2723,Diffusion spectrum imaging,6
2724,Diffusion tensor imaging,6
2725,Diffusion weighted imaging,6
3110,Electrical synapses,6
3160,Electronic cigarettes,6
3464,Etioplasts,6
3763,Follicular fluid,6
3790,Forensic materials engineering,6
3861,Functional connectivity MRI,6
3864,Functional magnetic resonance imaging,6
3930,Gap junctions,6
3941,Gastric mucosa,6
5790,Major histocompatibility antigens,6
6143,Microbiome,6
6453,Music perception,6
6545,Nasal mucosa,6
6663,Neuroendocrinology,6
6704,Neuropsychological testing,6
6973,Oilseed rape mosaic virus,6
7641,Phylogeography,6
7824,Platelets,6
8614,Resting state fMRI,6
9781,Synaptic vesicles,6
9810,Synthetic genome editing,6
9855,TALENs,6
10086,Tobacco mosaic virus,6
10087,Tobamoviruses,6
10164,Tractography,6
10365,Tyrosine,6
10716,Warburg effect,6
10824,X-ray radiography,6
10889,Zinc finger nucleases,6
90,Action potentials,5
478,Antibodies,5
479,Antibody affinity,5
484,Antibody isotypes,5
488,Antibody specificity,5
502,Antigen isotypes,5
508,Antigenic variation,5
509,Antigens,5
531,Antipodals,5
773,Auditory pathway,5
774,Auditory system,5
785,Autoantibodies,5
1164,Blood,5
1171,Blood counts,5
1173,Blood flow,5
1174,Blood groups,5
1175,Blood plasma,5
1177,Blood serum,5
1178,Blood sugar,5
1181,Blood volume,5
1442,Candida albicans,5
1444,Canine coronavirus,5
1566,Catecholamines,5
1686,Central cells,5
1861,Chondrocytes,5
2028,Coastal ecology,5
2171,Computed axial tomography,5
2347,Cotyledons (botany),5
2502,Cytokines,5
2571,Deep-brain stimulation,5
2641,Dermatomyositis,5
2766,Directed evolution,5
2812,DNA barcoding,5
2872,Dopamine,5
2902,Drought adaptation,5
2917,Drug excretion,5
3004,Ebola virus,5
3203,Embryo sac,5
3361,Epicotyl,5
3380,Epinephrine,5
3426,Escherichia coli,5
3461,Ethylene,5
