row,code,subject_area,
1,10,Biology and life sciences,
2,10.10,Agriculture,
3,10.10.10,Agricultural biotechnology,
4,10.10.10.10,Genetically modified organisms,
5,10.10.10.10.10,Genetically modified animals,
6,10.10.10.10.20,Genetically modified plants,
7,10.10.10.10.20.10,Genetically modified crops,
8,10.10.10.20,Marker-assisted selection,
9,10.10.20,Agricultural economics,
10,10.10.20.10,Income supports,
11,10.10.20.20,Marketing cartels,
12,10.10.20.30,Output ceilings,
13,10.10.20.40,Price controls,
14,10.10.30,Agricultural methods,
15,10.10.30.10,Agricultural irrigation,
16,10.10.30.10.10,Drip irrigation,
17,10.10.30.10.20,Lift irrigation,
18,10.10.30.10.30,Surface irrigation,
19,10.10.30.10.40,Tidal irrigation,
20,10.10.30.20,High-input farming,
21,10.10.30.30,Intercropping,
22,10.10.30.40,Monoculture cropping,
23,10.10.30.50,No-till farming,
24,10.10.30.60,Organic farming,
25,10.10.30.70,Slash-and-burn cultivation,
26,10.10.30.80,Sustainable agriculture,
27,10.10.40,Agricultural production,
28,10.10.50,Agricultural soil science,
29,10.10.60,Agrochemicals,
30,10.10.60.10,Fertilizers,
31,10.10.60.20,Fungicides,
32,10.10.60.30,Herbicides,
33,10.10.60.40,Insecticides,
34,10.10.60.40.10,Biological insecticides,
35,10.10.60.40.20,DDT,
36,10.10.60.40.30,Dieldrin,
37,10.10.60.50,Pesticides,
38,10.10.60.50.10,Larvicides,
39,10.10.70,Agroecology,
40,10.10.70.10,Agroforests,
41,10.10.70.20,Agronomic ecology,
42,10.10.70.30,Agro-population ecology,
43,10.10.70.40,Colony collapse,
44,10.10.70.50,Ecological political economy,
45,10.10.70.60,Holon agroecology,
46,10.10.80,Agronomy,
47,10.10.80.10,Horticulture,
48,10.10.80.10.10,Greenhouses,
49,10.10.80.10.20,Planting,
50,10.10.80.20,Plant breeding,
51,10.10.80.30,Plant products,
52,10.10.80.30.10,Biofuel feedstocks,
53,10.10.80.30.20,Cotton,
54,10.10.80.30.30,Straw,
55,10.10.80.30.40,Timber,
56,10.10.80.30.50,Vegetable oils,
57,10.10.90,Animal management,
58,10.10.90.10,Animal breeding,
59,10.10.90.20,Animal husbandry,
60,10.10.90.30,Animal performance,
61,10.10.90.40,Animal production,
62,10.10.90.50,Animal slaughter,
63,10.10.90.60,Animal welfare,
64,10.10.100,Animal products,
65,10.10.100.10,Fur,
66,10.10.100.20,Gelatin,
67,10.10.100.30,Honey,
68,10.10.100.40,Leather,
69,10.10.100.50,Meat,
70,10.10.100.50.10,Beef,
